novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
圣墟,辰东,http://book.qidian.com/info/1004608738,连载中,232.38万字,玄幻,13772500,5407500,1130392
飞剑问道,我吃西红柿,http://book.qidian.com/info/1010468795,连载中,2字,仙侠,11900,79350000,47916
玄界之门,忘语,http://book.qidian.com/info/3676417,连载中,339.69万字,仙侠,7484299,4638800,89576
龙王传说,唐家三少,http://book.qidian.com/info/3681560,连载中,323.99万字,玄幻,6816100,4665400,288084
不朽凡人,鹅是老五,http://book.qidian.com/info/1003307568,连载中,315.01万字,仙侠,7368400,3404100,389956
五行天,方想,http://book.qidian.com/info/3638453,连载中,191.19万字,玄幻,8608900,4169100,46704
一念永恒,耳根,http://book.qidian.com/info/1003354631,连载中,295.58万字,仙侠,13357900,5918700,736884
武道宗师,爱潜水的乌贼,http://book.qidian.com/info/1004142144,连载中,227.64万字,玄幻,4991700,1543500,344048
汉乡,孑与2,http://book.qidian.com/info/1010136878,连载中,23.9万字,历史,810000,425000,578624
雪鹰领主,我吃西红柿,http://book.qidian.com/info/3513193,连载中,360.14万字,玄幻,9080800,7152900,27736
超凡传,萧潜,http://book.qidian.com/info/1003578885,连载中,182.46万字,玄幻,8513300,8781600,316412
六迹之大荒祭,萧鼎,http://book.qidian.com/info/1010422436,连载中,11.62万字,仙侠,477400,1055400,383660
天影,萧鼎,http://book.qidian.com/info/1003723851,连载中,138.79万字,仙侠,10816199,9254000,394740
万界天尊,血红,http://book.qidian.com/info/1005238666,连载中,146.09万字,玄幻,5027600,5182300,587704
牧神记,宅猪,http://book.qidian.com/info/1009704712,连载中,58.34万字,玄幻,3037100,1844600,366312
斗战狂潮,骷髅精灵,http://book.qidian.com/info/1003694333,连载中,189.32万字,仙侠,12762800,9053400,748656
无疆,小刀锋利,http://book.qidian.com/info/1009265821,连载中,84.64万字,仙侠,5348600,3192799,786080
我是至尊,风凌天下,http://book.qidian.com/info/1005986994,连载中,81.53万字,玄幻,3749000,3928100,160192
道君,跃千愁,http://book.qidian.com/info/1005236478,连载中,130.7万字,仙侠,2345800,478100,246472
最后一个使徒,卷土,http://book.qidian.com/info/1003683523,连载中,135.47万字,玄幻,4336400,3567500,19228
